"","Label","Value","Phase","Bounds","Status","SD","Prior"
"LnQ_base_11_NWFSC_ORWA(11)","LnQ_base_11_NWFSC_ORWA(11)","-0.698",-1,"(-15, 15)","fixed","0","none"
"Q_extraSD_11_NWFSC_ORWA(11)","Q_extraSD_11_NWFSC_ORWA(11)","0",-5,"(0, 5)","fixed","0","none"
"LnQ_base_12_IPHC_ORWA(12)","LnQ_base_12_IPHC_ORWA(12)","-0.367",-1,"(-15, 15)","fixed","0","none"
"Q_extraSD_12_IPHC_ORWA(12)","Q_extraSD_12_IPHC_ORWA(12)","0.56",5,"(0, 5)","ok","0.108","none"
"LnQ_base_6_OR_REC(6)_BLK2add_2005","LnQ_base_6_OR_REC(6)_BLK2add_2005","-0.598",1,"(-4, 4)","ok","7820","none"
"Size_DblN_peak_1_CA_TWL(1)","Size_DblN_peak_1_CA_TWL(1)","44.1",4,"(20, 60)","ok","3.27","none"
"Size_DblN_top_logit_1_CA_TWL(1)","Size_DblN_top_logit_1_CA_TWL(1)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_1_CA_TWL(1)","Size_DblN_ascend_se_1_CA_TWL(1)","5.13",4,"(-1, 9)","ok","0.397","none"
"Size_DblN_descend_se_1_CA_TWL(1)","Size_DblN_descend_se_1_CA_TWL(1)","18.3",5,"(-1, 30)","ok","151","none"
"Size_DblN_start_logit_1_CA_TWL(1)","Size_DblN_start_logit_1_CA_TWL(1)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_1_CA_TWL(1)","Size_DblN_end_logit_1_CA_TWL(1)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_2_CA_NONTWL(2)","Size_DblN_peak_2_CA_NONTWL(2)","44.4",4,"(20, 60)","ok","2.45","none"
"Size_DblN_top_logit_2_CA_NONTWL(2)","Size_DblN_top_logit_2_CA_NONTWL(2)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_2_CA_NONTWL(2)","Size_DblN_ascend_se_2_CA_NONTWL(2)","5.18",4,"(-1, 9)","ok","0.28","none"
"Size_DblN_descend_se_2_CA_NONTWL(2)","Size_DblN_descend_se_2_CA_NONTWL(2)","17.3",5,"(-1, 30)","ok","172","none"
"Size_DblN_start_logit_2_CA_NONTWL(2)","Size_DblN_start_logit_2_CA_NONTWL(2)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_2_CA_NONTWL(2)","Size_DblN_end_logit_2_CA_NONTWL(2)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_3_CA_REC(3)","Size_DblN_peak_3_CA_REC(3)","41.8",4,"(20, 60)","ok","1.34","none"
"Size_DblN_top_logit_3_CA_REC(3)","Size_DblN_top_logit_3_CA_REC(3)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_3_CA_REC(3)","Size_DblN_ascend_se_3_CA_REC(3)","5.22",4,"(-1, 9)","ok","0.142","none"
"Size_DblN_descend_se_3_CA_REC(3)","Size_DblN_descend_se_3_CA_REC(3)","20",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_3_CA_REC(3)","Size_DblN_start_logit_3_CA_REC(3)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_3_CA_REC(3)","Size_DblN_end_logit_3_CA_REC(3)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_4_ORWA_TWL(4)","Size_DblN_peak_4_ORWA_TWL(4)","42.9",4,"(20, 60)","ok","3.1","none"
"Size_DblN_top_logit_4_ORWA_TWL(4)","Size_DblN_top_logit_4_ORWA_TWL(4)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_4_ORWA_TWL(4)","Size_DblN_ascend_se_4_ORWA_TWL(4)","5.55",4,"(-1, 9)","ok","0.335","none"
"Size_DblN_descend_se_4_ORWA_TWL(4)","Size_DblN_descend_se_4_ORWA_TWL(4)","18.1",5,"(-1, 30)","ok","154","none"
"Size_DblN_start_logit_4_ORWA_TWL(4)","Size_DblN_start_logit_4_ORWA_TWL(4)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_4_ORWA_TWL(4)","Size_DblN_end_logit_4_ORWA_TWL(4)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_5_ORWA_NONTWL(5)","Size_DblN_peak_5_ORWA_NONTWL(5)","51.3",4,"(20, 60)","ok","1.52","none"
"Size_DblN_top_logit_5_ORWA_NONTWL(5)","Size_DblN_top_logit_5_ORWA_NONTWL(5)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_5_ORWA_NONTWL(5)","Size_DblN_ascend_se_5_ORWA_NONTWL(5)","5.46",4,"(-1, 9)","ok","0.147","none"
"Size_DblN_descend_se_5_ORWA_NONTWL(5)","Size_DblN_descend_se_5_ORWA_NONTWL(5)","20",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_5_ORWA_NONTWL(5)","Size_DblN_start_logit_5_ORWA_NONTWL(5)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_5_ORWA_NONTWL(5)","Size_DblN_end_logit_5_ORWA_NONTWL(5)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_6_OR_REC(6)","Size_DblN_peak_6_OR_REC(6)","37.2",4,"(20, 60)","ok","0.948","none"
"Size_DblN_top_logit_6_OR_REC(6)","Size_DblN_top_logit_6_OR_REC(6)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_6_OR_REC(6)","Size_DblN_ascend_se_6_OR_REC(6)","4.18",4,"(-1, 9)","ok","0.216","none"
