Year,CA trawl (mt),CA non- trawl (mt),CA sport (mt),OR-WA trawl (mt),OR-WA non- trawl (mt),"OR
sport (mt)","WA
sport (mt)","WA
sport (1000s
fish)",Total Catch (mt)
1889,0,0,0,0,0.04,0,0,0,0.04
1890,0.02,0.07,0,0,0.04,0,0,0,0.13
1891,0.03,0.13,0,0,0.07,0,0,0,0.23
1892,0.05,0.2,0,0,3.64,0,0,0,3.89
1927,1.05,4.87,0,0,22.79,0,0,0,28.71
1928,1.34,4.18,0.64,0,22.09,0,0,0,28.25
1929,1.58,4.07,1.29,0,17.73,0,0,0,24.67
1930,1.47,5.3,1.48,0,19.5,0,0,0,27.75
1931,0.88,4.74,1.97,0,11.69,0,0,0,19.28
1932,1.05,7.08,2.47,0.02,7.33,0,0,0,17.95
1933,1.63,2.81,2.96,0.01,10.3,0,0,0,17.71
1934,1.61,4.17,3.45,0,12.66,0,0,0,21.89
1935,1.68,6.31,3.95,0.01,9.69,0,0,0,21.64
1936,1.49,6.6,4.44,0.03,16.65,0,0,0,29.21
1937,1.77,4.31,5.27,0.06,14.82,0,0,0,26.23
1938,1.67,4.69,5.18,0,16.35,0,0,0,27.89
1939,1.73,4.71,4.53,0.09,10.63,0,0,0,21.69
1940,1.6,2.97,6.51,2.06,17.14,0,0,0,30.28
1941,1.16,4.19,6.02,3.17,27.38,0,0,0,41.92
1942,0.27,3.1,3.2,5.95,31.38,0,0,0,43.9
1943,2.05,3.84,3.06,20.81,51.22,0,0,0,80.98
1944,8.36,16.52,2.51,36.51,22.6,0,0,0,86.5
1945,18.54,40.02,3.35,56.89,11.52,0,0,0,130.32
1946,16.33,41.42,5.76,34.85,20.68,0,0,0,119.04
1947,7.09,9.19,4.59,21.42,10.95,0,0,0,53.24
1948,6.49,16.81,9.18,15.14,13.38,0,0,0,61
1949,3.72,6.17,11.88,12.64,11.21,0,0,0,45.62
1950,3.42,4.61,14.49,13.69,14.78,0,0,0,50.99
1951,9.91,7.07,17.16,12.02,17.96,0,0,0,64.12
1952,8.7,5.44,15,12.79,13.06,0,0,0,54.99
1953,8.57,3.19,12.85,9.96,5.61,0,0,0,40.18
1954,4.99,6.78,16.17,12.81,10.25,0,0,0,51
1955,5.61,1.83,19.51,13.13,9.71,0,0,0,49.79
1956,8.58,1.81,21.9,16.99,4.34,0,0,0,53.62
1957,10.49,4.07,21.71,22.96,8.51,0,0,0,67.74
1958,10.34,3.05,33.84,18.38,2.39,0,0,0,68
1959,8.61,1.64,29.23,19.94,5.41,0,0,0,64.83
1960,7.48,2.24,20.86,25.2,4.92,0,0,0,60.7
1961,3.56,1.69,16.35,22.72,4.91,0,0,0,49.23
1962,3.68,1.75,20.81,26.4,5.16,0,0,0,57.8
1963,6.02,5.61,21.8,7.17,4.1,0,0,0,44.7
1964,3.12,4.56,18.96,1.95,3.11,0,0,0,31.7
1965,3.86,5.51,29.11,67.88,4.68,0,0,0,111.04
1966,3.62,4.45,31.6,3.03,3.24,0,0,0,45.94
1967,6.17,4.38,31.89,6.82,6.6,0,0,0,55.86
1968,3.78,3.89,37.66,2.97,5.66,0,0,0,53.96
1969,21.8,3.91,40.62,47.76,13.08,0,0,0,127.17
1970,24.22,3.47,45.79,7.05,4.31,0,0,0,84.84
1971,41.77,4.73,40.72,13.65,8.34,0,0,0,109.21
1972,56.22,7.44,52.36,7.35,10.86,0,0,0,134.23
1973,43.62,5.89,66.48,9.52,11.46,7.4,0,0,144.37
1974,44.8,11.59,70.15,4.41,14.46,12.78,0,0,158.19
1975,50.31,9.93,71.13,5.36,7.65,6.24,4.39,1.393,155.01
1976,45.27,13.39,80.63,6.91,10.15,19.38,4.57,1.454,180.3
1977,42.51,14.95,72.78,4.97,17.02,19.91,9.33,2.991,181.47
1978,123.44,30.76,67.89,23.64,24.1,24.52,4.57,1.48,298.92
1979,61.02,38.31,76.31,44.58,49.1,30.92,4.61,1.516,304.85
1980,15.48,26.58,72.51,83.95,24.96,27.54,2.61,0.873,253.63
1981,30.2,119.5,47,91.34,23.95,24.1,4.77,1.623,340.86
1982,199.93,15.59,102,156.08,31.45,39.88,6.76,2.332,551.69
1983,56.65,7.68,51,287.29,45.95,54.09,9.15,3.205,511.81
1984,44.03,4.42,77,113.98,39.39,35.74,15.24,5.433,329.8
1985,7.42,4.23,124,200.04,69.72,30.46,11.46,4.133,447.33
1986,9.89,23.43,65,92.92,66.15,28.77,10.99,4.017,297.15
1987,16.84,38,75,71.75,97.08,30.02,13.66,5.048,342.35
1988,30.57,34.95,58,130.64,47.45,9.33,10.57,3.957,321.51
1989,9.38,42.37,59,199.34,41.4,15.96,18.39,6.98,385.84
1990,10.08,70.26,46.25,81.07,68.95,15.75,15.27,5.909,307.63
1991,13.98,133.07,33.5,121.38,85.62,15.73,37.59,14.799,440.87
1992,15.83,96.85,20.75,135.66,89.87,20.17,32.89,13.234,412.02
1993,6.18,46.59,8,137.96,138.25,19.01,32.99,13.566,388.98
1994,4.7,49.78,14,86,79.29,12.88,19.93,8.394,266.58
1995,3.69,47.68,13,131.32,40.43,15.25,19.19,8.186,270.56
1996,16.32,56.18,12,83.88,93.25,9.81,19.56,8.406,291
1997,6.2,57.06,15,80.13,115.54,10.7,20.41,8.815,305.04
1998,4.1,17.64,5,41.18,45.05,15.56,25.7,11.151,154.24
1999,8.66,13.73,13,18.94,102,17.16,21.31,9.207,194.8
2000,0.73,3.31,8,5.07,15.04,7.95,22.6,9.76,62.7
2001,0.62,3.9,5,1.63,26.31,5.11,24.54,10.522,67.11
2002,0.36,0.03,2,1.59,4.15,3,3.32,1.416,14.45
2003,0.13,0.05,4,0.55,2.24,3.4,2.36,0.997,12.73
2004,0.02,0.75,1,0.5,2.38,1.44,4.11,1.727,10.2
2005,0.02,0.73,1,1.24,1.66,2.05,4.06,1.693,10.76
2006,0,0.2,1,1.42,2.16,1.18,1.58,0.655,7.54
2007,0,0.93,4,0.09,3.68,1.82,2.31,0.957,12.83
2008,0.02,0.64,1,0.16,3.43,2.1,1.95,0.807,9.29
2009,0.02,0.19,5,0.09,2.18,2.3,1.91,0.796,11.69
2010,0.06,0.04,1,0.08,0.86,2.41,2.27,0.952,6.72
2011,0,0.2,2,0.06,1.21,2.54,2.33,0.985,8.34
2012,0,0.88,2,0.06,1.91,3.05,3.26,1.383,11.16
2013,0.01,0.56,1,0.11,2.94,3.54,2.24,0.954,10.4
2014,0.06,0.02,1,0.03,2.16,2.64,2.91,1.241,8.81
2015,0,0.4,2,0.03,3.15,3.56,2.87,1.226,12.02
2016,0,0,1,0.07,2.59,2.68,3.24,1.382,9.59

